	state	click	open	number of emails	total_gross_margin	gm_per_email
0	AA	0	0	10	-0.004	-0.0004
1	AE	63	150	882	7.2072	0.00817142857143
2	AK	308	871	12044	32.1424	0.00266874792428
3	AL	5710	12176	201816	604.4736	0.0029951718397
4	AP	20	44	244	2.3024	0.00943606557377
5	AR	2435	5938	91553	255.5788	0.00279159394012
6	AS	16	10	159	1.8564	0.0116754716981
7	AZ	6706	16237	188279	729.4084	0.00387408261144
8	CA	28969	77971	880168	3124.2128	0.00354956417411
9	CO	4100	10740	119918	444.0328	0.00370280358245
10	CT	3818	8829	101543	417.5428	0.00411198014634
11	DC	707	1668	24923	74.8708	0.00300408458051
12	DE	1320	3048	38545	142.982	0.00370948242314
13	FL	25407	61636	771417	2740.2732	0.00355225928389
14	FM	2	1	21	0.2316	0.0110285714286
15	GA	14283	32293	472081	1525.1276	0.0032306481303
16	GU	203	300	2668	23.2928	0.00873043478261
17	HI	954	2428	28518	103.0728	0.00361430675363
18	IA	2020	4417	58379	219.0484	0.00375217800922
19	ID	893	2339	29554	95.3384	0.00322590512283
20	IL	13034	31215	397332	1405.1472	0.0035364561626
21	IN	7224	16890	242048	770.0608	0.00318143839238
22	KS	2420	5733	75024	260.3904	0.00347076135637
23	KY	4434	9767	148608	472.6368	0.00318042635659
24	LA	4879	11942	176432	514.9072	0.00291844563345
25	MA	4938	12633	136661	537.8956	0.00393598466278
26	MD	6136	15354	195038	658.3048	0.00337526430747
27	ME	908	1819	24649	99.1004	0.0040204633048
28	MH	0	0	18	-0.0072	-0.0004
29	MI	9065	20826	279739	975.9044	0.00348862475379
30	MN	2825	6953	85626	304.7496	0.00355907785019
31	MO	5774	13071	187321	617.9516	0.00329889120814
32	MP	14	24	152	1.6192	0.0106526315789
33	MS	3936	8345	138283	417.0068	0.0030156042319
34	MT	481	1073	14320	51.992	0.00363072625698
35	NC	11374	25045	377198	1214.0008	0.00321847093569
36	ND	267	746	11138	27.5848	0.00247663853475
37	NE	1000	2550	36573	105.3708	0.00288110901485
38	NH	1193	2807	29630	131.308	0.00443158960513
39	NJ	7791	18946	212682	849.8472	0.00399585860581
40	NM	1566	3811	54998	165.9208	0.00301685152187
41	NV	3175	8498	100175	340.93	0.00340334414774
42	NY	13208	30176	396304	1426.4384	0.00359935403125
43	OH	11802	26355	377396	1265.2816	0.0033526629853
44	OK	2615	6858	95897	275.4412	0.00287226086322
45	OR	2186	5772	68096	235.0816	0.00345220864662
46	PA	11880	27614	348458	1286.2168	0.00369116737168
47	PR	1328	2369	20571	151.1316	0.00734682805892
48	PW	3	4	47	0.3412	0.00725957446809
49	RI	1020	2467	28830	110.868	0.00384557752341
50	SC	6478	13553	218682	689.8872	0.00315475073394
51	SD	334	800	11745	35.382	0.00301251596424
52	TN	7352	16949	252886	781.0856	0.00308868660187
53	TX	25215	63001	801302	2705.2792	0.00337610439011
54	UT	1518	4126	50763	161.8548	0.0031884403995
55	VA	7797	18476	260619	831.3924	0.00319006826056
56	VI	225	377	3785	25.486	0.00673342140026
57	VT	369	851	10872	39.9312	0.00367284768212
58	WA	3836	10793	125243	410.2228	0.00327541499325
59	WI	4374	9986	129699	473.0004	0.00364690861148
60	WV	1383	3162	50669	145.6924	0.00287537547613
61	WY	313	724	10722	33.2712	0.003103077784
62	\N	2627	6538	61746	290.5416	0.00470543193081
